date,channelGrouping,users,newUsers,percentNewSessions,sessions,bounces,bounceRate,sessionDuration,avgSessionDuration,pageviews,pageviewsPerSession
20180210,Organic Search,48189,22984,41.19439366,55794,13220,23.69430405,9135476,163.7358139,350466,6.281428111
20180210,Paid Search,1,0,0,1,1,100,0,0,1,1
20180210,Referral,149283,37469,20.43789648,183331,46975,25.62305338,3.37E+07,183.8841767,1352867,7.379368465
20180210,Social,43423,13088,27.52471083,47550,10283,21.6256572,6612785,139.0701367,248927,5.235057834
20180211,(Other),7,1,8.333333333,12,2,16.66666667,1868,155.6666667,51,4.25
20180211,Direct,175100,57570,28.60677976,201246,58710,29.17325065,3.28E+07,162.8920426,1232610,6.124891923
20180211,Organic Search,51168,22931,37.36211813,61375,14448,23.54052953,1.07E+07,174.266835,364588,5.940334012
20180211,Referral,156755,29581,15.06390997,196370,53278,27.13143556,3.86E+07,196.6203086,1293462,6.586861537
20180211,Social,56455,16842,26.15501685,64393,17870,27.75146367,9784238,151.9456773,280402,4.354541643
20180212,(Other),10,1,8.333333333,12,4,33.33333333,1403,116.9166667,69,5.75
20180212,Direct,143996,47762,29.46361926,162105,48912,30.173036,2.54E+07,156.8998797,940942,5.804521761
20180212,Organic Search,50144,24257,41.46212225,58504,14068,24.04621906,1.02E+07,174.8640777,335720,5.738411049
20180212,Referral,140681,31633,18.65010347,169613,48891,28.8250311,3.14E+07,185.341271,1064420,6.275580292
20180212,Social,66528,19970,25.89235936,77127,22949,29.75481997,1.13E+07,147.1435165,322040,4.17545088
20180213,(Other),9,0,0,10,2,20,2802,280.2,137,13.7
20180213,Direct,140195,58432,38.48565482,151828,42016,27.67341992,2.23E+07,146.9569645,841856,5.544800696
20180213,Organic Search,47155,24640,45.94871795,53625,12518,23.34358974,8978507,167.431366,300405,5.601958042
20180213,Referral,112639,33507,25.66878103,130536,35947,27.53799718,2.22E+07,170.3889885,784287,6.008204633
20180213,Social,57298,18419,28.70747027,64161,17541,27.33903773,9543687,148.7459204,280016,4.36427113
20180214,(Other),9,0,0,14,2,14.28571429,1347,96.21428571,46,3.285714286
20180214,Direct,174707,64988,33.06234165,196562,57145,29.07225201,2.80E+07,142.4454472,1232881,6.27222454
20180214,Organic Search,51552,24208,40.26814379,60117,14194,23.61062595,9950272,165.5151122,342750,5.701382305
20180214,Referral,164793,46312,23.450895,197485,53792,27.23852444,3.34E+07,168.9211738,1329740,6.733372155
20180214,Social,53006,17923,30.5171034,58731,15120,25.74449609,8328353,141.8050604,279122,4.752549761
20180215,(Other),11,1,7.142857143,14,2,14.28571429,1294,92.42857143,62,4.428571429
20180215,Direct,197540,80361,36.38648157,220854,67224,30.43820805,2.93E+07,132.4530097,1316601,5.961408895
20180215,Organic Search,52312,25064,40.73327699,61532,15003,24.38243516,9718400,157.9405838,339390,5.515666645
20180215,Referral,203912,67479,28.15848773,239640,68044,28.39425805,3.68E+07,153.6133367,1482823,6.187710733
20180215,Social,71220,23099,29.09816963,79383,19474,24.53170074,1.12E+07,141.4442891,353889,4.457994785
20180216,(Other),15,1,5.263157895,19,3,15.78947368,4351,229,156,8.210526316
20180216,Direct,218691,84211,33.6720087,250092,70597,28.22841194,3.29E+07,131.5784031,1595198,6.378444732
20180216,Organic Search,51771,22278,35.85130351,62140,14943,24.04731252,9800738,157.7202768,361844,5.823044738
20180216,Referral,214670,63641,24.07989678,264291,70742,26.76670791,4.04E+07,152.8742712,1823858,6.900946305
20180216,Social,51727,17779,31.51131671,56421,13238,23.46289502,7734681,137.0886904,267680,4.744332784
20180217,(Other),7,0,0,8,2,25,1286,160.75,64,8
20180217,Direct,218230,94703,38.94934689,243144,67448,27.73994012,3.63E+07,149.452888,1451477,5.969618827
20180217,Organic Search,47265,21598,38.55271143,56022,13839,24.70279533,9116615,162.7327657,321620,5.740958909
20180217,Paid Search,1,0,0,1,0,0,221,221,3,3
20180217,Referral,251033,96096,32.45105124,296126,79457,26.83215928,5.04E+07,170.1389375,1871205,6.318948691
20180217,Social,42569,15658,34.41772541,45494,10735,23.59651822,6403080,140.7455928,212294,4.66641755
20180218,(Other),6,1,16.66666667,6,5,83.33333333,126,21,19,3.166666667
20180218,Direct,161932,54163,28.91376531,187326,50936,27.19110001,2.67E+07,142.4746645,1125620,6.00888291
20180218,Organic Search,44521,18668,34.52625349,54069,12864,23.79182156,8721456,161.3023359,310994,5.751798628
20180218,Paid Search,1,0,0,1,0,0,102,102,6,6
20180218,Referral,153688,30551,16.16352401,189012,50878,26.91786765,3.11E+07,164.4883976,1204781,6.374097941
20180218,Social,42161,15446,33.52578573,46072,10492,22.77305088,6439038,139.7603317,213117,4.625737975
20180219,(Other),9,1,9.090909091,11,1,9.090909091,984,89.45454545,65,5.909090909
20180219,Direct,148878,45646,27.03330155,168851,48191,28.54054758,2.37E+07,140.1761375,985649,5.837389177
20180219,Organic Search,46465,20132,36.38729734,55327,13531,24.45641369,9311587,168.3009561,302770,5.472373344
